timestamp_utc,city,target_date,ecmwf_max_c,gfs_max_c,predicted_bucket,polymarket_price,all_bucket_prices
2026-08-14 17:43:28,Guangzhou,2026-08-15,32.5,34.4,32°C,0.0355,"{""29°C or below"": 0.0025, ""30°C"": 0.0065, ""31°C"": 0.017, ""32°C"": 0.0355, ""33°C"": 0.135, ""34°C"": 0.205, ""35°C"": 0.385, ""36°C"": 0.235, ""37°C"": 0.04, ""38°C"": 0.0035, ""39°C or higher"": 0.0015}"
2026-08-14 17:43:28,Shenzhen,2026-08-15,31.1,33.7,31°C,0.18,"{""33°C"": 0.27, ""31°C"": 0.18, ""32°C"": 0.345, ""36°C"": 0.0125, ""37°C or higher"": 0.0035, ""27°C or below"": 0.0005, ""35°C"": 0.04, ""29°C"": 0.0205, ""28°C"": 0.003, ""30°C"": 0.065, ""34°C"": 0.13}"
2026-08-14 18:39:18,Hong Kong,2026-08-15,30.1,31.6,30°C,0.19,"{""27°C or below"": 0.0015, ""28°C"": 0.0185, ""29°C"": 0.065, ""30°C"": 0.19, ""31°C"": 0.37, ""32°C"": 0.285, ""33°C"": 0.095, ""34°C"": 0.011, ""35°C"": 0.0045, ""36°C"": 0.0015, ""37°C or higher"": 0.0005}"
2026-08-14 18:39:18,Tokyo,2026-08-15,29.8,31.0,30°C,0.49,"{""24°C or below"": 0.0005, ""25°C"": 0.0005, ""26°C"": 0.005, ""27°C"": 0.01, ""28°C"": 0.03, ""29°C"": 0.265, ""30°C"": 0.49, ""31°C"": 0.165, ""32°C"": 0.05, ""33°C"": 0.011, ""34°C or higher"": 0.0075}"
2026-08-14 18:39:18,Shanghai,2026-08-15,30.7,28.9,31°C,0.16,"{""25°C or below"": 0.0005, ""26°C"": 0.002, ""27°C"": 0.006, ""28°C"": 0.05, ""29°C"": 0.27, ""30°C"": 0.43, ""31°C"": 0.16, ""32°C"": 0.035, ""33°C"": 0.009, ""34°C"": 0.0045, ""35°C or higher"": 0.0015}"
2026-08-14 18:39:18,Qingdao,2026-08-15,30.1,30.9,30°C,0.255,"{""33°C"": 0.0525, ""34°C"": 0.007, ""35°C or higher"": 0.004, ""32°C"": 0.235, ""25°C or below"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0065, ""28°C"": 0.0125, ""29°C"": 0.06, ""30°C"": 0.255, ""31°C"": 0.415}"
2026-08-14 18:39:18,Seoul,2026-08-15,28.4,25.9,28°C,0.205,"{""34°C or higher"": 0.0015, ""24°C or below"": 0.0005, ""25°C"": 0.0005, ""26°C"": 0.0065, ""27°C"": 0.075, ""28°C"": 0.205, ""29°C"": 0.305, ""30°C"": 0.305, ""31°C"": 0.07, ""32°C"": 0.03, ""33°C"": 0.005}"
2026-08-14 18:39:18,Guangzhou,2026-08-15,32.5,35.0,32°C,0.029,"{""29°C or below"": 0.0005, ""30°C"": 0.006, ""31°C"": 0.0125, ""32°C"": 0.029, ""33°C"": 0.085, ""34°C"": 0.145, ""35°C"": 0.405, ""36°C"": 0.27, ""37°C"": 0.06, ""38°C"": 0.0055, ""39°C or higher"": 0.0015}"
2026-08-14 18:39:18,Shenzhen,2026-08-15,31.1,33.9,31°C,0.175,"{""33°C"": 0.28, ""31°C"": 0.175, ""32°C"": 0.345, ""36°C"": 0.0115, ""37°C or higher"": 0.0035, ""27°C or below"": 0.0005, ""35°C"": 0.04, ""29°C"": 0.017, ""28°C"": 0.003, ""30°C"": 0.065, ""34°C"": 0.13}"
2026-08-14 19:41:24,Hong Kong,2026-08-15,30.1,31.6,30°C,0.2,"{""27°C or below"": 0.0015, ""28°C"": 0.0195, ""29°C"": 0.075, ""30°C"": 0.2, ""31°C"": 0.36, ""32°C"": 0.285, ""33°C"": 0.095, ""34°C"": 0.0125, ""35°C"": 0.003, ""36°C"": 0.0015, ""37°C or higher"": 0.0005}"
