timestamp_utc,city,target_date,ecmwf_max_c,gfs_max_c,predicted_bucket,polymarket_price,all_bucket_prices,snapshot_id,lead_time_hours,model_spread_c,abs_model_spread_c,ecmwf_run_utc,gfs_run_utc,market_implied_temp_c,market_implied_temp_used_open_bucket_approx,market_vs_ecmwf_c,market_vs_gfs_c,ecmwf_bucket,ecmwf_bucket_probability,gfs_bucket,gfs_bucket_probability,market_modal_bucket,market_modal_bucket_price,ecmwf_change_c,gfs_change_c,market_implied_change_c,data_quality
2026-08-15 10:11:24,Shanghai,2026-08-15,30.7,30.9,31°C,0.997,"{""25°C or below"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.997, ""32°C"": 0.003, ""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C or higher"": 0.0005}",af5de56a,-18.19,-0.2,0.2,,,31.0,True,0.3,0.1,31°C,0.997,31°C,0.997,31°C,0.997,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 10:11:24,Qingdao,2026-08-15,31.1,30.3,31°C,0.9965,"{""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C or higher"": 0.0005, ""32°C"": 0.0035, ""25°C or below"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.9965}",af5de56a,-18.19,0.8,0.8,,,31.0,True,-0.1,0.7,31°C,0.9965,30°C,0.0005,31°C,0.9965,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 10:11:24,Seoul,2026-08-15,28.2,25.2,28°C,0.9995,"{""34°C or higher"": 0.0005, ""24°C or below"": 0.0005, ""25°C"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.9995, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005}",af5de56a,-19.19,3.0,3.0,,,28.01,True,-0.19,2.81,28°C,0.9995,25°C,0.0005,28°C,0.9995,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 10:11:24,Guangzhou,2026-08-15,32.8,35.3,33°C,0.0005,"{""29°C or below"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C"": 0.997, ""36°C"": 0.0015, ""37°C"": 0.0005, ""38°C"": 0.0005, ""39°C or higher"": 0.0005}",af5de56a,-18.19,-2.5,2.5,,,35.0,True,2.2,-0.3,33°C,0.0005,35°C,0.997,35°C,0.997,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 10:11:24,Shenzhen,2026-08-15,31.2,33.5,31°C,0.0005,"{""33°C"": 0.003, ""31°C"": 0.0005, ""32°C"": 0.997, ""36°C"": 0.0005, ""37°C or higher"": 0.0005, ""27°C or below"": 0.0005, ""35°C"": 0.0005, ""29°C"": 0.0005, ""28°C"": 0.0005, ""30°C"": 0.0005, ""34°C"": 0.0015}",af5de56a,-18.19,-2.3,2.3,,,32.0,True,0.8,-1.5,31°C,0.0005,34°C,0.0015,32°C,0.997,0.0,0.0,-0.01,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 10:11:24,New York,2026-08-15,28.6,29.3,82-83°F,0.53,"{""75°F or below"": 0.0005, ""76-77°F"": 0.004, ""78-79°F"": 0.016, ""80-81°F"": 0.14, ""82-83°F"": 0.53, ""84-85°F"": 0.315, ""86-87°F"": 0.025, ""88-89°F"": 0.0055, ""90-91°F"": 0.0015, ""92-93°F"": 0.0005, ""94°F or higher"": 0.0005}",af5de56a,-6.19,-0.7,0.7,,,28.28,True,-0.32,-1.02,82-83°F,0.53,84-85°F,0.315,82-83°F,0.53,0.0,0.4,-0.01,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 10:11:24,Chicago,2026-08-15,26.5,26.3,80-81°F,0.28,"{""75°F or below"": 0.0155, ""76-77°F"": 0.053, ""78-79°F"": 0.51, ""80-81°F"": 0.28, ""82-83°F"": 0.145, ""84-85°F"": 0.035, ""86-87°F"": 0.004, ""88-89°F"": 0.0005, ""90-91°F"": 0.0005, ""92-93°F"": 0.0005, ""94°F or higher"": 0.0005}",af5de56a,-5.19,0.2,0.2,,,26.49,True,-0.01,0.19,80-81°F,0.28,78-79°F,0.51,78-79°F,0.51,0.0,1.7,0.01,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 10:11:24,Miami,2026-08-15,32.9,30.7,90-91°F,0.085,"{""79°F or below"": 0.0005, ""80-81°F"": 0.0005, ""82-83°F"": 0.0005, ""84-85°F"": 0.0005, ""86-87°F"": 0.0055, ""88-89°F"": 0.0015, ""90-91°F"": 0.085, ""92-93°F"": 0.65, ""94-95°F"": 0.22, ""96-97°F"": 0.0085, ""98°F or higher"": 0.002}",af5de56a,-6.19,2.2,2.2,,,33.76,True,0.86,3.06,90-91°F,0.085,86-87°F,0.0055,92-93°F,0.65,0.0,-1.8,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 10:11:24,London,2026-08-15,27.4,28.1,27°C,0.495,"{""20°C or below"": 0.0005, ""21°C"": 0.0005, ""22°C"": 0.0005, ""23°C"": 0.0005, ""24°C"": 0.003, ""25°C"": 0.055, ""26°C"": 0.315, ""27°C"": 0.495, ""28°C"": 0.15, ""29°C"": 0.0245, ""30°C or higher"": 0.005}",af5de56a,-11.19,-0.7,0.7,,,26.78,True,-0.62,-1.32,27°C,0.495,28°C,0.15,27°C,0.495,0.0,0.0,0.1,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 10:11:24,Paris,2026-08-15,32.5,34.9,32°C,0.3265,"{""30°C or below"": 0.045, ""31°C"": 0.176, ""32°C"": 0.3265, ""33°C"": 0.145, ""34°C"": 0.185, ""35°C"": 0.03, ""36°C"": 0.0125, ""37°C"": 0.002, ""38°C"": 0.0005, ""39°C"": 0.0005, ""40°C or higher"": 0.0005}",af5de56a,-12.19,-2.4,2.4,,,32.42,True,-0.08,-2.48,32°C,0.3265,35°C,0.03,32°C,0.3265,0.0,0.0,-0.51,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
