timestamp_utc,city,target_date,ecmwf_max_c,gfs_max_c,icon_max_c,predicted_bucket,polymarket_price,all_bucket_prices,snapshot_id,lead_time_hours,model_spread_c,abs_model_spread_c,ecmwf_run_utc,gfs_run_utc,market_implied_temp_c,market_implied_temp_used_open_bucket_approx,market_vs_ecmwf_c,market_vs_gfs_c,ecmwf_bucket,ecmwf_bucket_probability,gfs_bucket,gfs_bucket_probability,icon_bucket,icon_bucket_probability,market_modal_bucket,market_modal_bucket_price,ecmwf_change_c,gfs_change_c,icon_change_c,market_implied_change_c,data_quality
2026-08-16 13:23:04,Ankara,2026-08-16,29.0,27.7,27.2,29°C,0.002,"{""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C or higher"": 0.0005, ""27°C"": 0.975, ""28°C"": 0.035, ""29°C"": 0.002, ""22°C or below"": 0.0005, ""23°C"": 0.0005, ""24°C"": 0.0005, ""25°C"": 0.0005, ""26°C"": 0.0005}",6e128668,-16.38,1.3,1.3,,,27.04,True,-1.96,-0.66,29°C,0.002,28°C,0.035,27°C,0.975,27°C,0.975,0.0,0.0,0.0,0.1,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 13:23:04,Buenos Aires,2026-08-16,18.6,17.3,17.9,19°C,0.215,"{""13°C or below"": 0.0005, ""17°C"": 0.165, ""18°C"": 0.575, ""19°C"": 0.215, ""23°C or higher"": 0.0005, ""20°C"": 0.04, ""21°C"": 0.01, ""22°C"": 0.0015, ""14°C"": 0.0005, ""15°C"": 0.0015, ""16°C"": 0.03}",6e128668,-10.38,1.3,1.3,,,18.1,True,-0.5,0.8,19°C,0.215,17°C,0.165,18°C,0.575,18°C,0.575,0.0,0.0,0.0,-0.03,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 14:12:47,Hong Kong,2026-08-16,33.3,32.2,33.1,33°C,0.9995,"{""27°C or below"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.9995, ""34°C"": 0.0005, ""35°C"": 0.0005, ""36°C"": 0.0005, ""37°C or higher"": 0.0005}",8ef4e255,-22.21,1.1,1.1,,,32.99,True,-0.31,0.79,33°C,0.9995,32°C,0.0005,33°C,0.9995,33°C,0.9995,0.7,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 14:12:47,Tokyo,2026-08-16,25.7,28.5,27.9,26°C,0.9995,"{""25°C"": 0.0005, ""26°C"": 0.9995, ""24°C or below"": 0.0005, ""27°C"": 0.001, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""34°C or higher"": 0.0005}",8ef4e255,-23.21,-2.8,2.8,,,26.02,True,0.32,-2.48,26°C,0.9995,28°C,0.0005,28°C,0.0005,26°C,0.9995,0.0,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 14:12:47,Shanghai,2026-08-16,29.4,28.4,29.9,29°C,0.9995,"{""25°C or below"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.9995, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C or higher"": 0.0005}",8ef4e255,-22.21,1.0,1.0,,,29.01,True,-0.39,0.61,29°C,0.9995,28°C,0.0005,30°C,0.0005,29°C,0.9995,-0.9,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 14:12:47,Qingdao,2026-08-16,32.7,31.6,31.6,33°C,0.9995,"{""26°C or below"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.9995, ""34°C"": 0.0005, ""35°C"": 0.0005, ""36°C or higher"": 0.0005}",8ef4e255,-22.21,1.1,1.1,,,32.99,True,0.29,1.39,33°C,0.9995,32°C,0.0005,32°C,0.0005,33°C,0.9995,0.1,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 14:12:47,Seoul,2026-08-16,26.7,27.2,26.6,27°C,0.999,"{""22°C or below"": 0.0005, ""23°C"": 0.0005, ""24°C"": 0.0005, ""25°C"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.999, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C or higher"": 0.0005}",8ef4e255,-23.21,-0.5,0.5,,,27.0,True,0.3,-0.2,27°C,0.999,27°C,0.999,27°C,0.999,27°C,0.999,-1.2,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 14:12:47,Guangzhou,2026-08-16,34.7,36.4,34.3,35°C,0.0005,"{""29°C or below"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C"": 0.0005, ""36°C"": 0.0005, ""37°C"": 0.9995, ""38°C"": 0.0005, ""39°C or higher"": 0.0005}",8ef4e255,-22.21,-1.7,1.7,,,36.98,True,2.28,0.58,35°C,0.0005,36°C,0.0005,34°C,0.0005,37°C,0.9995,1.0,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 14:12:47,Shenzhen,2026-08-16,33.4,35.0,32.2,33°C,0.0005,"{""27°C or below"": 0.0005, ""28°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""34°C"": 0.0005, ""35°C"": 0.9995, ""36°C"": 0.0005, ""37°C or higher"": 0.0005}",8ef4e255,-22.21,-1.6,1.6,,,34.98,True,1.58,-0.02,33°C,0.0005,35°C,0.9995,32°C,0.0005,35°C,0.9995,1.1,0.0,0.0,0.0,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-16 14:12:47,New York,2026-08-16,26.9,26.9,26.1,80-81°F,0.47,"{""72-73°F"": 0.0005, ""74-75°F"": 0.0005, ""82-83°F"": 0.22, ""86-87°F"": 0.0045, ""90°F or higher"": 0.0005, ""71°F or below"": 0.0005, ""76-77°F"": 0.04, ""78-79°F"": 0.29, ""80-81°F"": 0.47, ""84-85°F"": 0.015, ""88-89°F"": 0.001}",8ef4e255,-10.21,0.0,0.0,,,26.83,True,-0.07,-0.07,80-81°F,0.47,80-81°F,0.47,78-79°F,0.29,80-81°F,0.47,-0.4,-1.0,0.0,-0.15,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
